grid_position_zero_based,ternary_x,ternary_y,PEA2PbI4_pct,BDAPbI4_pct,FAPbI3_pct,GP_mean_delta_SP_v,GP_posterior_standard_deviation_v
0,1.0,0.0,100.0,0.0,0.0,0.11696802104120202,0.019050487501575328
1,0.92,0.0,92.0,7.9999999999999964,0.0,0.11024185512539567,0.019244672144918623
2,0.9600000000000001,0.06928203230275509,92.0,0.0,8.0,0.11384991761600649,0.01944300469351388
3,0.84,0.0,84.0,16.000000000000004,0.0,0.0966414873801868,0.020853610971167724
4,0.88,0.06928203230275509,84.0,8.000000000000004,8.0,0.10323025978663491,0.02036554395033563
5,0.9199999999999999,0.13856406460551018,84.0,0.0,16.0,0.10750176302379535,0.021629563858692736
6,0.76,0.0,76.0,24.0,0.0,0.08125478752917666,0.02189927705243096
7,0.8,0.06928203230275509,76.0,15.999999999999998,8.0,0.08829879431937832,0.02101143787948807
8,0.84,0.13856406460551018,76.0,7.999999999999999,16.0,0.09500141203670413,0.02184135491354122
9,0.88,0.20784609690826525,76.0,0.0,24.0,0.09999264616317698,0.02377733241603487
10,0.68,0.0,68.0,31.999999999999996,0.0,0.06510589953533234,0.02364781449461976
11,0.7200000000000001,0.06928203230275509,68.0,23.999999999999993,8.0,0.07276900940272749,0.022090155589523167
12,0.76,0.13856406460551018,68.0,15.999999999999995,16.0,0.08039533299443016,0.022013190652999014
13,0.8,0.20784609690826525,68.0,7.9999999999999964,24.0,0.08742973390881537,0.023262093341766144
14,0.8400000000000001,0.27712812921102037,68.0,0.0,32.0,0.09295117659157101,0.025304509983850223
15,0.6,0.0,60.0,40.0,0.0,0.05137137512766499,0.02553667639453968
16,0.64,0.06928203230275509,60.0,32.0,8.0,0.0574644516228484,0.023503564325244575
17,0.6799999999999999,0.13856406460551018,60.0,24.000000000000004,16.0,0.0653505339015297,0.02275418376422235
18,0.72,0.20784609690826525,60.0,16.000000000000004,24.0,0.07363390185706654,0.023127932914367922
19,0.76,0.27712812921102037,60.0,8.000000000000002,32.0,0.08118390498564648,0.02429013992078178
20,0.8,0.34641016151377546,60.00000000000001,0.0,40.0,0.08711441452191881,0.0260917262971281
21,0.52,0.0,52.0,48.0,0.0,0.04088772097281609,0.02696328529842834
22,0.56,0.06928203230275509,52.0,40.0,8.0,0.045766971708695786,0.025192440231338535
23,0.6,0.13856406460551018,52.0,31.999999999999996,16.0,0.05208735478166,0.023817229221548664
24,0.64,0.20784609690826525,52.0,24.0,24.0,0.05991820113112023,0.02348091123683988
25,0.68,0.27712812921102037,52.0,15.999999999999998,32.0,0.06836390499205153,0.023933564538190528
26,0.72,0.34641016151377546,52.0,7.9999999999999964,40.0,0.07624008898068249,0.02479864122274344
27,0.76,0.4156921938165305,52.0,0.0,48.0,0.08248336948669273,0.026245295110783842
28,0.44,0.0,44.0,56.00000000000001,0.0,0.03158408439396989,0.026805317934850886
29,0.48,0.06928203230275509,44.0,48.00000000000001,8.0,0.03574697716797999,0.02598100501482768
30,0.52,0.13856406460551018,44.0,40.0,16.0,0.041288848003821585,0.024862226173708882
31,0.56,0.20784609690826525,44.00000000000001,31.999999999999996,24.0,0.04807095614030511,0.02401689131166833
32,0.6,0.27712812921102037,43.99999999999999,24.000000000000004,32.0,0.05586202295246941,0.024012537764192377
33,0.64,0.34641016151377546,44.0,16.000000000000004,40.0,0.06416252626317513,0.024520272166632814
34,0.6799999999999999,0.4156921938165305,43.99999999999999,8.000000000000007,48.0,0.0720828740447819,0.02517451328840555
35,0.72,0.48497422611928565,43.99999999999999,0.0,56.00000000000001,0.07852556758101766,0.026303106259868498
36,0.36,0.0,36.0,64.0,0.0,0.023414780772935566,0.024937421862943246
37,0.39999999999999997,0.06928203230275509,36.0,56.00000000000001,8.0,0.02632712417524264,0.02512650926106167
