panel_number,selected_position_expression,acquisition_position_zero_based,plate_index_zero_based,well_id,PEA2PbI4_pct,BDAPbI4_pct,FAPbI3_pct,histogram_bin_center_v,dark_pixel_count,illuminated_pixel_count,dark_gaussian_fit_at_bin,illuminated_gaussian_fit_at_bin,SP_dark_v,SP_dark_fit_se_v,SP_illuminated_v,SP_illuminated_fit_se_v,delta_SP_v,delta_SP_fit_se_v
2,3,3,90,C12,4.0000000000000036,0.0,96.0,-1.2000000000000002,1,1,1.7400623135330209,1.426544929965435,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589
2,3,3,90,C12,4.0000000000000036,0.0,96.0,-1.1333333333333333,2,0,0.3102409818309886,0.16191546919325225,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589
2,3,3,90,C12,4.0000000000000036,0.0,96.0,-1.0666666666666669,1,0,0.045732314700195974,0.013860024067276759,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589
2,3,3,90,C12,4.0000000000000036,0.0,96.0,-1.0,0,0,0.0055736135420244364,0.0008947719887047141,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589
2,3,3,90,C12,4.0000000000000036,0.0,96.0,-0.9333333333333333,0,0,0.0005616169080921857,4.356457974932728e-05,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589
2,3,3,90,C12,4.0000000000000036,0.0,96.0,-0.8666666666666666,0,0,4.678785635512213e-05,1.5996590659590035e-06,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589
2,3,3,90,C12,4.0000000000000036,0.0,96.0,-0.7999999999999999,0,0,3.2226695361845415e-06,4.4299016881848917e-08,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589
2,3,3,90,C12,4.0000000000000036,0.0,96.0,-0.7333333333333333,0,0,1.8352196544484008e-07,9.251954712010902e-10,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589
2,3,3,90,C12,4.0000000000000036,0.0,96.0,-0.6666666666666666,0,0,8.640720987916628e-09,1.4572889171019887e-11,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589
2,3,3,90,C12,4.0000000000000036,0.0,96.0,-0.6,0,0,3.3635784714710127e-10,1.7311335749750784e-13,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589
2,3,3,90,C12,4.0000000000000036,0.0,96.0,-0.5333333333333333,0,0,1.0825371235120757e-11,1.5509159080745123e-15,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589
3,-2,17,78,G10,4.0,96.0,0.0,-2.466666666666667,0,0,2.1847275101708763e-47,3.9044868089963814e-67,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134
3,-2,17,78,G10,4.0,96.0,0.0,-2.4,4,0,8.469159841823166e-43,9.810222603275573e-61,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134
3,-2,17,78,G10,4.0,96.0,0.0,-2.333333333333333,5,98,1.9778583707361482e-38,1.2156145939068958e-54,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134
3,-2,17,78,G10,4.0,96.0,0.0,-2.2666666666666666,4,10,2.782670972853047e-34,7.428738820850387e-49,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134
3,-2,17,78,G10,4.0,96.0,0.0,-2.2,18,5,2.3585241836783423e-30,2.2389088615998538e-43,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134
3,-2,17,78,G10,4.0,96.0,0.0,-2.1333333333333333,19,11,1.2042887176083148e-26,3.32782041758485e-38,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134
3,-2,17,78,G10,4.0,96.0,0.0,-2.0666666666666664,13,9,3.7045265318590386e-23,2.4394138759757067e-33,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134
3,-2,17,78,G10,4.0,96.0,0.0,-2.0,13,24,6.865095915667678e-20,8.818876055565171e-29,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134
3,-2,17,78,G10,4.0,96.0,0.0,-1.9333333333333333,23,21,7.664296846722747e-17,1.5723279299162862e-24,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134
3,-2,17,78,G10,4.0,96.0,0.0,-1.8666666666666667,14,13,5.1547764148866406e-14,1.3825318985056462e-20,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134
3,-2,17,78,G10,4.0,96.0,0.0,-1.8,22,22,2.0886186728424945e-11,5.99527809349604e-17,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134
3,-2,17,78,G10,4.0,96.0,0.0,-1.7333333333333334,21,26,5.0982401396601414e-09,1.282170104332686e-13,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134
3,-2,17,78,G10,4.0,96.0,0.0,-1.6666666666666665,28,16,7.497098683303604e-07,1.3523344177191404e-10,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134
3,-2,17,78,G10,4.0,96.0,0.0,-1.6,38,34,6.641680423058796e-05,7.034361725928449e-08,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134
3,-2,17,78,G10,4.0,96.0,0.0,-1.5333333333333332,63,35,0.0035446595574432365,1.8045438269366685e-05,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134
3,-2,17,78,G10,4.0,96.0,0.0,-1.4666666666666668,74,115,0.11396799121669034,0.00228303364885587,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134
3,-2,17,78,G10,4.0,96.0,0.0,-1.4,132,140,2.207511957766034,0.14244897606238233,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134
3,-2,17,78,G10,4.0,96.0,0.0,-1.3333333333333335,190,199,25.759358535405205,4.38337364755162,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134
3,-2,17,78,G10,4.0,96.0,0.0,-1.2666666666666666,319,356,181.08347959065563,66.52115696377382,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134
3,-2,17,78,G10,4.0,96.0,0.0,-1.2000000000000002,863,682,766.8923862427926,497.8668806444004,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134
3,-2,17,78,G10,4.0,96.0,0.0,-1.1333333333333333,1881,1666,1956.5990082974222,1837.6754810841271,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134
3,-2,17,78,G10,4.0,96.0,0.0,-1.0666666666666669,2914,3394,3007.3296767220654,3345.234337489187,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134
3,-2,17,78,G10,4.0,96.0,0.0,-1.0,2971,3062,2784.65924568027,3003.2149159791798,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134
3,-2,17,78,G10,4.0,96.0,0.0,-0.9333333333333333,1455,1211,1553.3699005292412,1329.6839288674544,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134
3,-2,17,78,G10,4.0,96.0,0.0,-0.8666666666666666,441,356,522.0228583916559,290.34380786182237,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134
3,-2,17,78,G10,4.0,96.0,0.0,-0.7999999999999999,120,118,105.68563545178965,31.266470439009424,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134
3,-2,17,78,G10,4.0,96.0,0.0,-0.7333333333333333,19,26,12.89003847338879,1.66053215164845,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134
3,-2,17,78,G10,4.0,96.0,0.0,-0.6666666666666666,0,11,0.9471183962064513,0.04349284939183251,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134
3,-2,17,78,G10,4.0,96.0,0.0,-0.6,0,3,0.04192433075466174,0.0005618114345759982,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134
3,-2,17,78,G10,4.0,96.0,0.0,-0.5333333333333333,0,1,0.0011179948758154826,3.5790307399342047e-06,-1.0434532102287468,0.002031389273926707,-1.043504985971728,0.002192653984955038,-5.177574298120824e-05,0.0029890255736550134
4,-1,18,0,A1,100.0,0.0,0.0,-2.466666666666667,0,0,9.821236486713256e-06,1.1077221241409953e-22,-1.4263648301668352,0.004809673745495786,-1.2109159110156313,0.003142686065291477,0.2154489191512039,0.0057453839943983455
4,-1,18,0,A1,100.0,0.0,0.0,-2.4,0,0,0.00010389418192602625,4.6611467433396245e-20,-1.4263648301668352,0.004809673745495786,-1.2109159110156313,0.003142686065291477,0.2154489191512039,0.0057453839943983455
4,-1,18,0,A1,100.0,0.0,0.0,-2.333333333333333,0,0,0.0009401429711479242,1.410739821926009e-17,-1.4263648301668352,0.004809673745495786,-1.2109159110156313,0.003142686065291477,0.2154489191512039,0.0057453839943983455
4,-1,18,0,A1,100.0,0.0,0.0,-2.2666666666666666,6,0,0.007277365636258382,3.0710952027711656e-15,-1.4263648301668352,0.004809673745495786,-1.2109159110156313,0.003142686065291477,0.2154489191512039,0.0057453839943983455
4,-1,18,0,A1,100.0,0.0,0.0,-2.2,14,0,0.04818724581304746,4.808745995048424e-13,-1.4263648301668352,0.004809673745495786,-1.2109159110156313,0.003142686065291477,0.2154489191512039,0.0057453839943983455
4,-1,18,0,A1,100.0,0.0,0.0,-2.1333333333333333,24,0,0.2729402781875533,5.415799772143354e-11,-1.4263648301668352,0.004809673745495786,-1.2109159110156313,0.003142686065291477,0.2154489191512039,0.0057453839943983455
4,-1,18,0,A1,100.0,0.0,0.0,-2.0666666666666664,69,0,1.3224546005216538,4.387181135774486e-09,-1.4263648301668352,0.004809673745495786,-1.2109159110156313,0.003142686065291477,0.2154489191512039,0.0057453839943983455
4,-1,18,0,A1,100.0,0.0,0.0,-2.0,169,0,5.481148016657674,2.5562347580451905e-07,-1.4263648301668352,0.004809673745495786,-1.2109159110156313,0.003142686065291477,0.2154489191512039,0.0057453839943983455
4,-1,18,0,A1,100.0,0.0,0.0,-1.9333333333333333,150,2,19.433002440837633,1.0712926121479924e-05,-1.4263648301668352,0.004809673745495786,-1.2109159110156313,0.003142686065291477,0.2154489191512039,0.0057453839943983455
4,-1,18,0,A1,100.0,0.0,0.0,-1.8666666666666667,108,1,58.93671108936841,0.0003229294761663819,-1.4263648301668352,0.004809673745495786,-1.2109159110156313,0.003142686065291477,0.2154489191512039,0.0057453839943983455
4,-1,18,0,A1,100.0,0.0,0.0,-1.8,127,1,152.90071098558747,0.0070016350539308155,-1.4263648301668352,0.004809673745495786,-1.2109159110156313,0.003142686065291477,0.2154489191512039,0.0057453839943983455
4,-1,18,0,A1,100.0,0.0,0.0,-1.7333333333333334,230,17,339.3209932102119,0.10919014847176438,-1.4263648301668352,0.004809673745495786,-1.2109159110156313,0.003142686065291477,0.2154489191512039,0.0057453839943983455
4,-1,18,0,A1,100.0,0.0,0.0,-1.6666666666666665,502,43,644.153796453376,1.2247844018056326,-1.4263648301668352,0.004809673745495786,-1.2109159110156313,0.003142686065291477,0.2154489191512039,0.0057453839943983455
4,-1,18,0,A1,100.0,0.0,0.0,-1.6,1069,60,1046.0345480672627,9.88161754488522,-1.4263648301668352,0.004809673745495786,-1.2109159110156313,0.003142686065291477,0.2154489191512039,0.0057453839943983455
4,-1,18,0,A1,100.0,0.0,0.0,-1.5333333333333332,1636,68,1453.0484743631641,57.34408658576577,-1.4263648301668352,0.004809673745495786,-1.2109159110156313,0.003142686065291477,0.2154489191512039,0.0057453839943983455
4,-1,18,0,A1,100.0,0.0,0.0,-1.4666666666666668,1784,174,1726.6002269478881,239.35441450984177,-1.4263648301668352,0.004809673745495786,-1.2109159110156313,0.003142686065291477,0.2154489191512039,0.0057453839943983455
4,-1,18,0,A1,100.0,0.0,0.0,-1.4,1599,616,1755.0160844723287,718.5987346685198,-1.4263648301668352,0.004809673745495786,-1.2109159110156313,0.003142686065291477,0.2154489191512039,0.0057453839943983455
4,-1,18,0,A1,100.0,0.0,0.0,-1.3333333333333335,1489,1728,1525.9771306329985,1551.75680491559,-1.4263648301668352,0.004809673745495786,-1.2109159110156313,0.003142686065291477,0.2154489191512039,0.0057453839943983455
4,-1,18,0,A1,100.0,0.0,0.0,-1.2666666666666666,1130,2432,1134.9913861644795,2410.199949563373,-1.4263648301668352,0.004809673745495786,-1.2109159110156313,0.003142686065291477,0.2154489191512039,0.0057453839943983455
4,-1,18,0,A1,100.0,0.0,0.0,-1.2000000000000002,795,2436,722.1288942513538,2692.6176702499147,-1.4263648301668352,0.004809673745495786,-1.2109159110156313,0.003142686065291477,0.2154489191512039,0.0057453839943983455
4,-1,18,0,A1,100.0,0.0,0.0,-1.1333333333333333,438,2368,393.0198596290198,2163.6574978785475,-1.4263648301668352,0.004809673745495786,-1.2109159110156313,0.003142686065291477,0.2154489191512039,0.0057453839943983455
4,-1,18,0,A1,100.0,0.0,0.0,-1.0666666666666669,190,1356,182.9750549943343,1250.5312259133264,-1.4263648301668352,0.004809673745495786,-1.2109159110156313,0.003142686065291477,0.2154489191512039,0.0057453839943983455
4,-1,18,0,A1,100.0,0.0,0.0,-1.0,89,326,72.86968515151554,519.8676235495302,-1.4263648301668352,0.004809673745495786,-1.2109159110156313,0.003142686065291477,0.2154489191512039,0.0057453839943983455
4,-1,18,0,A1,100.0,0.0,0.0,-0.9333333333333333,41,33,24.824443203680115,155.4473081268743,-1.4263648301668352,0.004809673745495786,-1.2109159110156313,0.003142686065291477,0.2154489191512039,0.0057453839943983455
4,-1,18,0,A1,100.0,0.0,0.0,-0.8666666666666666,4,3,7.234187421131559,33.43226837677638,-1.4263648301668352,0.004809673745495786,-1.2109159110156313,0.003142686065291477,0.2154489191512039,0.0057453839943983455
4,-1,18,0,A1,100.0,0.0,0.0,-0.7999999999999999,1,0,1.8033399858536283,5.17178767828926,-1.4263648301668352,0.004809673745495786,-1.2109159110156313,0.003142686065291477,0.2154489191512039,0.0057453839943983455
