well_id,PEA2PbI4_pct,BDAPbI4_pct,FAPbI3_pct,I_0,I_189,I_max_to_189,PL_retention_189_over_Imax,PL_189_over_I0,PL_I0_minus_I189
B8,20,64,16,5071.0,12543.0,37886.0,0.33107216386000105,2.4734766318280417,-7472.0
C8,20,56,24,3045.0,12779.0,39547.0,0.32313449819202467,4.196715927750411,-9734.0
D8,20,48,32,4613.0,16636.0,62699.0,0.26533118550535095,3.606329937134186,-12023.0
E8,20,40,40,6370.0,17150.0,61258.0,0.27996343334748114,2.6923076923076925,-10780.0
F8,20,32,48,6626.0,18089.0,40191.0,0.45007588763653555,2.730003018412315,-11463.0
G8,20,24,56,13866.0,27225.0,59771.0,0.4554884475749109,1.9634357421029858,-13359.0
H8,20,16,64,15115.0,9650.0,32512.0,0.2968134842519685,0.6384386371154482,5465.0
A9,20,8,72,7148.0,6177.0,39875.0,0.1549090909090909,0.8641578063794069,971.0
B9,20,0,80,17031.0,30587.0,52329.0,0.5845133673488888,1.7959603076742412,-13556.0
C9,12,88,0,23514.0,28482.0,31823.0,0.8950130408823807,1.21127838734371,-4968.0
D9,12,80,8,7642.0,8719.0,18787.0,0.4640975142385692,1.1409316932740121,-1077.0
E9,12,72,16,10829.0,22485.0,58130.0,0.386805436091519,2.0763690091421183,-11656.0
F9,12,64,24,1638.0,6698.0,16749.0,0.39990447190877065,4.089133089133089,-5060.0
G9,12,56,32,5480.0,12388.0,47334.0,0.26171462373769383,2.2605839416058395,-6908.0
H9,12,48,40,32749.0,30433.0,35564.0,0.8557248903385446,0.9292802833674311,2316.0
A10,12,40,48,3664.0,4215.0,46061.0,0.09150908577755584,1.150382096069869,-551.0
B10,12,32,56,3812.0,6046.0,32311.0,0.1871189378230324,1.5860440713536201,-2234.0
C10,12,24,64,6199.0,9164.0,37244.0,0.24605305552572226,1.4783029520890467,-2965.0
D10,12,16,72,6332.0,12153.0,39122.0,0.31064362762639947,1.9192987997473152,-5821.0
E10,12,8,80,5330.0,10334.0,36928.0,0.27984185441941073,1.9388367729831144,-5004.0
F10,12,0,88,10085.0,19565.0,43533.0,0.4494291686766361,1.9400099157164106,-9480.0
G10,4,96,0,20336.0,20814.0,23956.0,0.8688428786107865,1.0235051140833988,-478.0
H10,4,88,8,18749.0,11703.0,22794.0,0.513424585417215,0.6241932903088164,7046.0
A11,4,80,16,12366.0,11524.0,38722.0,0.2976085945973865,0.9319100760148795,842.0
B11,4,72,24,2376.0,4485.0,17285.0,0.25947353196413075,1.8876262626262625,-2109.0
C11,4,64,32,1906.0,4055.0,15916.0,0.2547750691128424,2.127492130115425,-2149.0
D11,4,56,40,3695.0,8943.0,55512.0,0.16110030263726763,2.420297699594046,-5248.0
E11,4,48,48,4970.0,9224.0,40125.0,0.2298816199376947,1.8559356136820926,-4254.0
F11,4,40,56,4969.0,8387.0,43563.0,0.1925257672795721,1.6878647615214328,-3418.0
G11,4,32,64,5752.0,7012.0,42572.0,0.16470919853424787,1.2190542420027817,-1260.0
H11,4,24,72,2675.0,3389.0,15401.0,0.22005064606194402,1.2669158878504674,-714.0
A12,4,16,80,2779.0,1697.0,16472.0,0.10302331228751821,0.6106513134220943,1082.0
B12,4,8,88,1883.0,1765.0,15505.0,0.11383424701709126,0.9373340414232607,118.0
C12,4,0,96,3372.0,2761.0,14837.0,0.18608883197411877,0.8188018979833926,611.0
D12,4,32,64,4664.0,7443.0,42684.0,0.1743744728703964,1.5958404802744426,-2779.0
E12,4,24,72,4012.0,7174.0,31285.0,0.2293111714879335,1.7881355932203389,-3162.0
F12,4,16,80,5117.0,6985.0,42512.0,0.16430654873917952,1.3650576509673638,-1868.0
G12,4,8,88,4489.0,5862.0,43526.0,0.1346781234204843,1.305858765872132,-1373.0
H12,4,0,96,5059.0,3345.0,27173.0,0.12310013616457513,0.6611978651907492,1714.0
