kpfm_metric,pl_metric,n,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,pearson_bootstrap_valid,spearman_rho,spearman_p,spearman_ci_low,spearman_ci_high,spearman_bootstrap_valid,spearman_loo_low,spearman_loo_high,composition_controls,effective_control_count,partial_n,partial_pearson_r,partial_pearson_p,partial_spearman_rho,partial_spearman_p,spearman_q_bh,partial_spearman_q_bh,association_is_exploratory,causal_claim_supported
photovoltage_signed_V,Top_PL_peak_intensity,13,0.46353633690621915,0.11062653796354169,-0.07524459054531384,0.8231207503634738,1000,0.46153846153846156,0.11237597055825141,-0.16877190683657092,0.7938861807489941,1000,0.34965034965034975,0.6013986013986015,PEA_pct;BDA_pct,2,13,-0.2118945049548611,0.5316509917051281,-0.09527055902710121,0.7805230408251479,0.4944432874513917,0.8617324096020214,True,False
photovoltage_signed_V,dominant_peak_nm,13,0.011477825804972155,0.9703138860404813,-0.48640450104395866,0.5521045898902506,1000,0.3038720410604064,0.3128006795793607,-0.3271551142979409,0.7994723835084446,1000,0.19965004347642867,0.4929699706427991,PEA_pct;BDA_pct,2,13,0.06328170085485171,0.8533532218395329,0.07006912604408821,0.8377953982241874,0.6624014391092343,0.8617324096020214,True,False
photovoltage_signed_V,frac_n=1-like / 2D,13,0.3464229213805876,0.24623350926101936,-0.3138529382609451,0.7874981139889403,1000,0.27857101420419017,0.3567223057236583,-0.5034290289439887,0.7978887712386151,1000,0.13439891743040652,0.4302429646588314,PEA_pct;BDA_pct,2,13,0.674757911395498,0.022744148402676995,0.4941961643949769,0.1223106980824649,0.6758948950553526,0.38972449444549806,True,False
photovoltage_signed_V,frac_n=2-like,13,-0.3328429991901946,0.2664704246446093,-0.6826454733954536,-0.01994643703413447,972,-0.23407946674793104,0.4414577187126236,-0.6349428196071029,0.21281144317118372,946,-0.3488000445227343,-0.18276928603298917,PEA_pct;BDA_pct,2,13,-0.48837508263907475,0.12746477668470835,-0.4295567450795911,0.1873285825571353,0.7487986898750445,0.4055309667431357,True,False
photovoltage_signed_V,frac_n=3-like,13,-0.42995343758489,0.1425416896157419,-0.7969302760845125,-0.17165002571355392,1000,-0.5231024615152639,0.06659909825651056,-0.7757180969229784,-0.014522495916508645,1000,-0.6784257348102164,-0.47567781406233567,PEA_pct;BDA_pct,2,13,-0.715190671117605,0.013358357474371804,-0.6735415028841859,0.0230837314569949,0.4497881092579277,0.2077535831129541,True,False
photovoltage_signed_V,frac_n=4-like,13,-0.5298525024931473,0.06254641267456312,-0.7952083651392472,-0.18364576517500322,996,-0.5100326551443909,0.0749646848763213,-0.845111938130639,-0.010178405122184144,991,-0.624068924979757,-0.3396210959826623,PEA_pct;BDA_pct,2,13,-0.47983444257185914,0.1352740413150262,-0.6035052034837204,0.049311421377533436,0.4497881092579277,0.2599181557408484,True,False
photovoltage_signed_V,frac_n>=5 / high-n,13,-0.2755151698862266,0.3622410581671241,-0.6865589354767662,0.3250485735628416,999,-0.16724840200141813,0.5849741881484071,-0.7434196695902111,0.4228273923626687,1000,-0.3396420980959014,-0.05458597866289097,PEA_pct;BDA_pct,2,13,-0.5978797017182693,0.05204573735972663,-0.47119348168858866,0.14347680333889845,0.8774612822226106,0.38972449444549806,True,False
photovoltage_signed_V,frac_3D / 3D-like,13,0.006694674048327701,0.9826827160012341,-0.5618299950918837,0.5819255505983676,1000,-0.12425669980249142,0.6858852455830627,-0.6959264125467178,0.5739082214108261,1000,-0.2392875486579723,0.02175341351436112,PEA_pct;BDA_pct,2,13,0.026248243782806026,0.9389376865885644,-0.315782867424759,0.3441531488773985,0.8901794337344491,0.5899768266469688,True,False
photovoltage_signed_V,frac_low_n_1_to_4,13,0.09478167674598874,0.7580823679908639,-0.5421855055562479,0.6078388493234494,1000,0.11576369428032278,0.706466816479199,-0.5646193078513891,0.6516971378100326,1000,-0.03269162856415295,0.23610620629666013,PEA_pct;BDA_pct,2,13,0.33182496035814285,0.31880740251542145,0.33640307587185175,0.31176399926775084,0.8901794337344491,0.5626624585978236,True,False
photovoltage_abs_V,Top_PL_peak_intensity,13,0.4055734923130472,0.16915096709452054,-0.17920389114243326,0.8101990991817382,1000,0.4175824175824176,0.15567475363347452,-0.22925622573619922,0.7697195939286418,1000,0.2937062937062937,0.5454545454545455,PEA_pct;BDA_pct,2,13,-0.289993265306482,0.38702324565129825,-0.07220007213855051,0.8329214280431905,0.4944432874513917,0.8617324096020214,True,False
photovoltage_abs_V,dominant_peak_nm,13,0.12193055788506736,0.6915031752574285,-0.3341601503017942,0.6610110355409833,1000,0.38122128787578263,0.1987145246645975,-0.1774899253880222,0.7660559603704225,1000,0.3012263813854889,0.563394252163199,PEA_pct;BDA_pct,2,13,0.34376178425697373,0.3006211777922825,0.33586314922098004,0.31259025477656865,0.5109820819201877,0.5626624585978236,True,False
photovoltage_abs_V,frac_n=1-like / 2D,13,0.29626319587818545,0.3256741080585524,-0.32006081120463253,0.7431455897537609,1000,0.21603466407671892,0.4783991629757228,-0.4517957796562729,0.6935790598377359,1000,0.0645364446988247,0.3370236556494179,PEA_pct;BDA_pct,2,13,0.5016397173822182,0.11591735631757864,0.2729571801803717,0.4167331305570658,0.7487986898750445,0.6394166933648742,True,False
photovoltage_abs_V,frac_n=2-like,13,-0.4334965175253551,0.13891889453700926,-0.7254164407964993,-0.16702638126721434,967,-0.37155470912370003,0.21128941262528078,-0.7460409248941781,0.03637755757772537,953,-0.5048421697039576,-0.27415392904948377,PEA_pct;BDA_pct,2,13,-0.6005295326749495,0.050745159599293994,-0.5714123702585164,0.06630754410822141,0.5109820819201877,0.29838394848699634,True,False
photovoltage_abs_V,frac_n=3-like,13,-0.4905258583842399,0.08877245765369247,-0.8207491164536599,-0.2206602711239909,1000,-0.6076759133770131,0.027590881095773685,-0.8586635794121479,-0.16268663923877488,999,-0.7252137165212658,-0.5658224919816464,PEA_pct;BDA_pct,2,13,-0.7398195986111622,0.00924740052873852,-0.7104534400603424,0.014279002767258896,0.28916709163698495,0.2077535831129541,True,False
photovoltage_abs_V,frac_n=4-like,13,-0.2841545828267413,0.34675661671037783,-0.6828911060758608,-0.062062295249736374,989,-0.4093683153132611,0.1648144291504639,-0.7839579855235445,0.04425566576453478,998,-0.5658224919816464,-0.3488000445227343,PEA_pct;BDA_pct,2,13,-0.09925399959593662,0.771552252772101,-0.3863394061476962,0.24053843757437654,0.4944432874513917,0.4810768751487531,True,False
photovoltage_abs_V,frac_n>=5 / high-n,13,-0.38025016989290916,0.19995615184121907,-0.7156957282815088,0.2227720749122789,1000,-0.3703357472888545,0.2129092008000782,-0.8295910361365405,0.4034077131368427,1000,-0.4590766820417128,-0.17935392989235607,PEA_pct;BDA_pct,2,13,-0.7255478877425011,0.011495789439571608,-0.7004689831728795,0.016367774913299625,0.5109820819201877,0.2077535831129541,True,False
photovoltage_abs_V,frac_3D / 3D-like,13,0.06405527850447362,0.8353109042096197,-0.5005477137443686,0.7553733193217632,1000,-0.08958041148551707,0.7710304914480205,-0.6195393374845127,0.5640717148613817,1000,-0.19408119891194364,0.06526024054308337,PEA_pct;BDA_pct,2,13,0.1777202974202241,0.601119655214725,-0.1678161454211603,0.6218576329893589,0.8901794337344491,0.8291435106524786,True,False
